run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
quare-ad-single_agent-s101,AD,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.016394,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s101,AD,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.023115,5,35,0,0,35,30,0.0,0.00305,0.666104,0.948321,0.0,1.0,1,0,0.9,0.666667,4.266667,3.8,2.8,5.0,3.16,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s101,AD,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,91.247913,5,35,5,20,7,6,0.333333,0.000194,0.630732,0.938626,0.963956,1.0,1,0,0.233333,1.0,5.0,3.8,1.466666,5.0,1.559999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s101,AD,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,110.454008,5,35,5,20,35,30,0.333333,0.00305,0.666104,0.948321,1.0,1.0,1,1,0.9,0.666667,4.266667,5.0,4.8,5.0,4.76,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-ad-single_agent-s202,AD,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.012498,1,7,0,0,7,6,0.0,0.000699,0.016991,0.938788,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s202,AD,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.021051,5,35,0,0,35,30,0.0,0.003411,0.666918,0.946061,0.0,1.0,1,0,0.9,0.666667,4.266667,3.8,2.8,5.0,3.16,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s202,AD,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,72.354834,5,35,5,16,7,6,1.0,0.0002,0.632265,0.947255,0.98944,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s202,AD,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,78.284797,5,35,5,18,35,30,0.666667,0.003411,0.666918,0.946061,1.0,1.0,1,1,0.9,0.666667,4.266667,5.0,4.8,5.0,4.76,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-ad-single_agent-s303,AD,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.013112,1,7,0,0,7,6,0.0,0.000991,0.022264,0.930606,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s303,AD,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.022602,5,35,0,0,35,30,0.0,0.003478,0.667928,0.948383,0.0,1.0,1,0,0.933333,0.666667,4.266667,3.8,2.866666,5.0,3.239999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s303,AD,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,58.842605,5,35,5,16,7,6,1.0,0.000146,0.631789,0.947833,0.986763,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s303,AD,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,73.875744,5,35,5,16,35,30,1.0,0.003478,0.667928,0.948383,1.0,1.0,1,1,0.933333,0.666667,4.266667,5.0,4.866666,5.0,4.839999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-atm-single_agent-s101,ATM,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009203,1,7,0,0,7,6,0.0,0.0,0.0,0.937011,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s101,ATM,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.023624,5,35,0,0,35,30,0.0,0.004829,0.677957,0.95425,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s101,ATM,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,76.262771,5,35,5,14,7,6,0.0,9.1e-05,0.637247,0.914648,0.979298,1.0,1,0,0.8,0.5,3.9,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s101,ATM,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,54.937459,5,35,5,14,35,30,0.0,0.004829,0.677957,0.95425,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-atm-single_agent-s202,ATM,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.008595,1,7,0,0,7,6,0.0,0.0,0.0,0.935422,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s202,ATM,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.025033,5,35,0,0,35,30,0.0,0.004673,0.67699,0.955069,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s202,ATM,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,73.437051,5,35,5,18,7,6,0.666667,0.000138,0.629908,0.929608,0.972706,1.0,1,0,0.7,0.333333,3.533333,3.8,2.4,5.0,2.68,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s202,ATM,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,49.545282,5,35,5,14,35,30,1.0,0.004673,0.67699,0.955069,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-atm-single_agent-s303,ATM,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009268,1,7,0,0,7,6,0.0,0.0,0.0,0.936097,0.0,1.0,1,0,0.7,0.2,3.24,3.8,2.4,5.0,2.68,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s303,ATM,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.02573,5,35,0,0,35,30,0.0,0.004836,0.677592,0.954372,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s303,ATM,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,30.674502,5,35,5,14,7,6,0.0,0.000108,0.632428,0.931191,0.948679,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s303,ATM,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.592298,5,35,5,14,35,30,0.0,0.004836,0.677592,0.954372,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-bookkeeping-single_agent-s101,Bookkeeping,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.00532,1,6,0,0,6,5,0.0,0.0,0.012232,0.932253,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s101,Bookkeeping,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.019199,5,35,0,0,35,30,0.0,0.003249,0.670538,0.948108,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s101,Bookkeeping,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,75.727617,5,35,5,16,7,6,1.0,0.0001,0.630583,0.949076,0.992045,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s101,Bookkeeping,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,57.354374,5,35,5,14,35,30,0.0,0.003249,0.670538,0.948108,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-bookkeeping-single_agent-s202,Bookkeeping,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005378,1,6,0,0,6,5,0.0,0.0,0.012655,0.93366,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s202,Bookkeeping,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.019894,5,35,0,0,35,30,0.0,0.004779,0.678672,0.947869,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s202,Bookkeeping,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,49.505349,5,35,5,10,7,6,0.0,0.000126,0.632792,0.945585,1.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s202,Bookkeeping,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,70.135468,5,35,5,14,35,30,0.0,0.004779,0.678672,0.947869,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-bookkeeping-single_agent-s303,Bookkeeping,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005519,1,6,0,0,6,5,0.0,0.0,0.013149,0.932116,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s303,Bookkeeping,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.020298,5,35,0,0,35,30,0.0,0.003312,0.670715,0.948064,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s303,Bookkeeping,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,78.21525,5,35,5,10,7,6,0.0,0.000145,0.632394,0.942778,1.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s303,Bookkeeping,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,73.494769,5,35,5,10,35,30,0.0,0.003312,0.670715,0.948064,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-library-single_agent-s101,Library,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005704,1,7,0,0,7,6,0.0,0.0,0.0,0.932199,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s101,Library,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.018128,5,35,0,0,35,30,0.0,0.004753,0.678874,0.947671,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s101,Library,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,44.673775,5,35,5,18,7,6,0.0,0.000111,0.632485,0.947538,0.983531,1.0,1,0,0.833333,1.0,5.0,3.8,2.666666,5.0,2.999999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-library-negotiation_integration_verification-s101,Library,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,37.386717,5,35,5,18,35,30,0.0,0.004753,0.678874,0.947671,1.0,1.0,1,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-library-single_agent-s202,Library,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005822,1,7,0,0,7,6,0.0,0.0,0.0,0.932852,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s202,Library,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.019253,5,35,0,0,35,30,0.0,0.004832,0.679016,0.948315,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s202,Library,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,57.66237,5,35,5,26,7,6,0.5,0.000148,0.633457,0.859765,0.952114,1.0,1,0,0.833333,1.0,5.0,3.8,2.666666,5.0,2.999999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
quare-library-negotiation_integration_verification-s202,Library,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,52.536878,5,35,5,24,35,30,0.25,0.004832,0.679016,0.948315,1.0,1.0,1,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
quare-library-single_agent-s303,Library,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005758,1,7,0,0,7,6,0.0,0.0,0.0,0.933134,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s303,Library,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.018088,5,35,0,0,35,30,0.0,0.004852,0.679375,0.947592,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s303,Library,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,60.505452,5,35,5,18,7,6,0.0,0.000197,0.637096,0.945849,0.959774,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
