case_id,setting,runs,valid_runs,invalid_runs,mean_runtime_seconds,std_runtime_seconds,mean_phase1_elements,std_phase1_elements,mean_phase2_steps,std_phase2_steps,mean_phase3_elements,std_phase3_elements,mean_conflict_resolution_rate,std_conflict_resolution_rate,mean_topology_valid,std_topology_valid
AD,multi_agent_with_negotiation,3,3,0,74.148451,13.290066,35.0,0.0,17.333333,1.885618,7.0,0.0,0.777778,0.31427,1.0,0.0
AD,multi_agent_without_negotiation,3,3,0,0.022256,0.000877,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
AD,negotiation_integration_verification,3,3,0,87.538183,16.303603,35.0,0.0,18.0,1.632993,35.0,0.0,0.666667,0.272166,1.0,0.0
AD,single_agent,3,3,0,0.014001,0.00171,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
ATM,multi_agent_with_negotiation,3,3,0,60.124775,20.856415,35.0,0.0,15.333333,1.885618,7.0,0.0,0.222222,0.31427,1.0,0.0
ATM,multi_agent_without_negotiation,3,3,0,0.024796,0.000876,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
ATM,negotiation_integration_verification,3,3,0,46.025013,9.062678,35.0,0.0,14.0,0.0,35.0,0.0,0.333333,0.471405,1.0,0.0
ATM,single_agent,3,3,0,0.009022,0.000303,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,multi_agent_with_negotiation,3,3,0,67.816072,12.987404,35.0,0.0,12.0,2.828427,7.0,0.0,0.333333,0.471405,1.0,0.0
Bookkeeping,multi_agent_without_negotiation,3,3,0,0.019797,0.000454,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,negotiation_integration_verification,3,3,0,66.99487,6.953445,35.0,0.0,12.666667,1.885618,35.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,single_agent,3,3,0,0.005406,8.4e-05,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Library,multi_agent_with_negotiation,3,3,0,54.280532,6.89145,35.0,0.0,20.666667,3.771236,7.0,0.0,0.166667,0.235702,1.0,0.0
Library,multi_agent_without_negotiation,3,3,0,0.01849,0.00054,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
Library,negotiation_integration_verification,3,3,0,41.709628,7.707644,35.0,0.0,18.666667,4.109609,35.0,0.0,0.083333,0.117851,1.0,0.0
Library,single_agent,3,3,0,0.005761,4.8e-05,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
RollCall,multi_agent_with_negotiation,3,3,0,28.216796,5.013072,35.0,0.0,16.666667,1.885618,7.0,0.0,0.166667,0.235702,1.0,0.0
RollCall,multi_agent_without_negotiation,3,3,0,0.018964,0.000903,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
RollCall,negotiation_integration_verification,3,3,0,34.527931,10.981519,35.0,0.0,19.333333,4.988877,35.0,0.0,0.166667,0.235702,1.0,0.0
RollCall,single_agent,3,3,0,0.00507,0.000109,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
