case_id,config_id,config_name,runs,requirement_count_mean,requirement_count_std,n_agents_mean,n_agents_std,n_negotiations_mean,n_negotiations_std,n_conflicts_mean,n_conflicts_std,conflict_noise_count_mean,conflict_noise_count_std,conflict_noise_rate_mean,conflict_noise_rate_std,asp_mean,asp_std,asr_mean,asr_std,dfs_mean,dfs_std,compliance_coverage_mean,compliance_coverage_std,verifiability_mean,verifiability_std,feasibility_mean,feasibility_std,bertscore_mean,bertscore_std,phase0_tokens_mean,phase0_tokens_std,phase2_tokens_mean,phase2_tokens_std,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,total_tokens_mean,total_tokens_std
AD,config_a,Fixed-5,3,35,0,5,0,5,0,2.333333,0.471405,0.333333,0.471405,0.11,0.157135,0.6,0,0.5,0,0.55,0,0.855555,0.031427,4.711111,0.062854,4.653333,0.075425,0.947,0.001476,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20000,0
AD,config_b,Domain-optimized-6,3,42,0,6,0,6,0,3,0,0.666667,0.471405,0.22,0.157135,0.833333,0,0.833333,0,0.83,0,0.844444,0.015714,4.688889,0.031428,4.626666,0.037713,0.954,0.001794,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23000,0
AD,config_c,Full-15,3,105,0,15,0,15,0,8.666667,0.942809,5.666667,0.942809,0.65,0.035355,0.4,0,1,0,0.57,0,0.9,0.04714,4.799999,0.094281,4.759999,0.113137,0.954,0.000227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62000,0
AD,config_d,Phase0-Auto,3,39.666667,3.299832,5.7,0.471405,5.666667,0.471405,4.333333,0.471405,0.666667,0.942809,0.13,0.188562,0.888889,0.078567,0.833333,0,0.86,0.035712,0.855556,0.015714,4.711111,0.031428,4.653334,0.037713,0.954,0.001343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36000,0
ATM,config_a,Fixed-5,3,35,0,5,0,5,0,0,0,0,0,0,0,0.4,0,0.333333,0,0.36,0,1,0,5,0,5,0,0.954,0.000491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18000,0
ATM,config_b,Domain-optimized-6,3,42,0,6,0,6,0,0.333333,0.471405,0.333333,0.471405,0.33,0.471405,0.833333,0,0.833333,0,0.83,0,1,0,5,0,5,0,0.959,0.000113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21000,0
ATM,config_c,Full-15,3,105,0,15,0,15,0,0.666667,0.471405,0.666667,0.471405,0.67,0.471405,0.4,0,1,0,0.57,0,1,0,5,0,5,0,0.959,0.000221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58000,0
ATM,config_d,Phase0-Auto,3,49,0,7.0,0,7,0,0.333333,0.471405,0,0,0,0,0.714286,0,0.833333,0,0.77,0,1,0,5,0,5,0,0.960,0.000301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34000,0
Bookkeeping,config_a,Fixed-5,3,35,0,5,0,5,0,1,0,1,0,0.60,0,0.4,0,0.4,0,0.40,0,1,0,5,0,5,0,0.948,0.000346,0,0,15924,754.803727,10519.666667,595.507813,5404.333333,553.462033,16000,0
Bookkeeping,config_b,Domain-optimized-6,3,42,0,6,0,6,0,0,0,0,0,0.00,0,0.666667,0,0.8,0,0.73,0,1,0,5,0,5,0,0.953,0.000209,0,0,17198.666667,43.744206,10245.333333,20.997354,6953.333333,26.911377,17000,0
Bookkeeping,config_c,Full-15,3,105,0,15,0,15,0,0.333333,0.471405,0,0,0.80,0,0.333333,0,1,0,0.50,0,1,0,5,0,5,0,0.954,0.000125,0,0,46549.666667,1493.23147,26729.333333,791.016786,19820.333333,709.67426,47000,0
Bookkeeping,config_d,Phase0-Auto,3,37.333333,3.299832,5.3,0.471405,5.333333,0.471405,0.333333,0.471405,0.333333,0.471405,0.33,0.471405,0.755556,0.062854,0.8,0,0.78,0.034284,1,0,5,0,5,0,0.955,0.000784,5958,56.944417,15890.333333,3863.387575,16095.333333,2725.756816,5753,1198.021703,32000,0
Library,config_a,Fixed-5,3,35,0,5,0,5,0,1.666667,0.471405,1.666667,0.471405,0.60,0,0,0,0,0,0.00,0,1,0,5,0,5,0,0.948,0.000208,0,0,18383.333333,962.622921,12371,706.140685,6012.333333,1517.505043,18000,0
Library,config_b,Domain-optimized-6,3,42,0,6,0,6,0,1.333333,1.247219,0,0,0.00,0,0.666667,0,0.8,0,0.73,0,1,0,5,0,5,0,0.954,0.000079,0,0,18753,3158.793757,14904.666667,3833.258695,3848.333333,774.295522,19000,0
Library,config_c,Full-15,3,105,0,15,0,15,0,3.333333,2.357023,1.666667,1.247219,0.33,0.249444,0.333333,0,1,0,0.50,0,1,0,5,0,5,0,0.954,0.000068,0,0,53459.333333,7367.658033,37068.666667,7677.493529,16390.666667,432.493802,53000,0
Library,config_d,Phase0-Auto,3,30.333333,3.299832,4.3,0.471405,4.333333,0.471405,1.333333,1.247219,0.333333,0.471405,0.11,0.157135,0.7,0.070711,0.6,0,0.64,0.031427,1,0,5,0,5,0,0.952,0.000961,6158.333333,59.957392,15876,5300.713977,18037.333333,4374.482776,3997,1249.486561,27000,0
RollCall,config_a,Fixed-5,3,35,0,5,0,5,0,1.666667,1.247219,1.666667,1.247219,0.50,0,0,0,0,0,0.00,0,1,0,5,0,5,0,0.945,0.000264,0,0,16066.666667,4929.923349,11961,3742.185814,4105.666667,2069.964627,16000,0
RollCall,config_b,Domain-optimized-6,3,42,0,6,0,6,0,2.333333,0.471405,1.333333,0.942809,0.20,0,0.666667,0,0.8,0,0.73,0,1,0,5,0,5,0,0.950,0.000186,0,0,22637,1551.828814,17940,2184.472629,4697,952.698623,23000,0
RollCall,config_c,Full-15,3,105,0,15,0,15,0,3,0.816497,3,0.816497,1.00,0,0.333333,0,1,0,0.50,0,1,0,5,0,5,0,0.952,0.000017,0,0,46501.666667,3007.041108,34568.333333,2481.279285,11933.333333,526.837314,47000,0
