model,case_id,config,runs,asp_mean,asp_std,asr_mean,asr_std,dfs_mean,dfs_std,n_agents_mean,n_agents_std
claude-3-5-sonnet,AD,fixed5,1,0.6,0.0,0.5,0.0,0.5454545454545454,0.0,5,0.0
gpt-4o,AD,auto,3,0.7142857142857143,0.0,0.8333333333333334,0.0,0.7692307692307692,0.0,7,0.0
gpt-4o,AD,fixed5,3,0.6,0.0,0.5,0.0,0.5454545454545454,0.0,5,0.0
gpt-4o,ATM,auto,3,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,6,0.0
gpt-4o,ATM,fixed5,3,0.4,0.0,0.3333333333333333,0.0,0.3636363636363636,0.0,5,0.0
gpt-4o,Bookkeeping,auto,3,0.6666666666666666,0.0,0.8,0.0,0.7272727272727272,0.0,6,0.0
gpt-4o,Bookkeeping,fixed5,3,0.4,0.0,0.4,0.0,0.4000000000000001,0.0,5,0.0
gpt-4o,Library,auto,3,0.7666666666666667,0.023570226039551605,0.6666666666666666,0.09428090415820636,0.711111111111111,0.06285393610547103,4.333333333333333,0.4714045207910317
gpt-4o,Library,fixed5,3,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
gpt-4o,RollCall,auto,3,0.6666666666666666,0.0,0.8,0.0,0.7272727272727272,0.0,6,0.0
gpt-4o,RollCall,fixed5,3,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
