case_id,config_id,config_name,runs,n_agents_mean,n_agents_std,asp_mean,asp_std,asr_mean,asr_std,dfs_mean,dfs_std,conflict_noise_rate_mean,conflict_noise_rate_std,bertscore_mean,bertscore_std,total_tokens_mean,total_tokens_std
EHR,config_a,Fixed-5,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9463,0.0009,19061.0,1731.9994
EHR,config_b,Domain-opt,3,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9592,0.0005,22421.6667,373.5776
EHR,config_c,Full-15,3,15.0,0.0,0.4,0.0,1.0,0.0,0.5714,0.0,0.8535,0.0052,0.9554,0.0006,57280.6667,1001.0975
EHR,config_d,Phase0-Auto,3,8.6667,0.4714,0.6944,0.0393,1.0,0.0,0.819,0.0269,0.4769,0.0755,0.9567,0.0009,41761.6667,4187.0424
LoanApproval,config_a,Fixed-5,3,5.0,0.0,0.2,0.0,0.1667,0.0,0.1818,0.0,0.0,0.0,0.9467,0.0004,14121.0,459.8348
LoanApproval,config_b,Domain-opt,3,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9567,0.0007,19109.6667,1277.6323
LoanApproval,config_c,Full-15,3,15.0,0.0,0.4,0.0,1.0,0.0,0.5714,0.0,0.3333,0.4714,0.953,0.0005,45749.6667,1319.0967
LoanApproval,config_d,Phase0-Auto,3,8.0,0.0,0.75,0.0,1.0,0.0,0.8571,0.0,0.6667,0.4714,0.9526,0.0004,38219.0,1878.6614
SmartGrid,config_a,Fixed-5,3,5.0,0.0,0.6,0.0,0.5,0.0,0.5455,0.0,0.7222,0.2079,0.9469,0.0006,16173.0,2232.0853
SmartGrid,config_b,Domain-opt,3,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9563,0.0018,21127.6667,1521.562
SmartGrid,config_c,Full-15,3,15.0,0.0,0.4,0.0,1.0,0.0,0.5714,0.0,0.8746,0.0929,0.9547,0.0001,63383.0,4899.1496
SmartGrid,config_d,Phase0-Auto,3,8.0,0.0,0.75,0.0,1.0,0.0,0.8571,0.0,0.4444,0.4157,0.9542,0.0002,37276.6667,1079.4694
