evaluator_id,case_id,config,D1_completeness,D2_relevance,D3_actionability,D4_consistency
SE_MS_01,EHR,Full-15,4,2,2,2
SE_MS_01,EHR,Phase0-Auto,3,3,2,3
SE_MS_01,EHR,Domain-opt,4,4,3,3
SE_MS_01,EHR,Fixed-5,2,3,2,3
SE_MS_01,SmartGrid,Fixed-5,3,3,2,3
SE_MS_01,SmartGrid,Phase0-Auto,4,3,3,3
SE_MS_01,SmartGrid,Full-15,4,2,2,2
SE_MS_01,SmartGrid,Domain-opt,4,4,3,3
SE_MS_01,LoanApproval,Fixed-5,3,3,2,3
SE_MS_01,LoanApproval,Domain-opt,4,4,3,3
SE_MS_01,LoanApproval,Full-15,4,2,2,2
SE_MS_01,LoanApproval,Phase0-Auto,3,3,3,3
SE_MS_01,W-Mobility,Phase0-Auto,4,3,3,3
SE_MS_01,W-Mobility,Full-15,4,2,2,2
SE_MS_01,W-Mobility,Fixed-5,3,3,2,3
SE_MS_01,W-Mobility,Domain-opt,4,3,3,3
SE_PhD_01,EHR,Full-15,3,1,1,1
SE_PhD_01,EHR,Phase0-Auto,3,2,2,2
SE_PhD_01,EHR,Domain-opt,4,3,2,3
SE_PhD_01,EHR,Fixed-5,1,2,1,2
SE_PhD_01,SmartGrid,Fixed-5,2,3,2,2
SE_PhD_01,SmartGrid,Phase0-Auto,3,3,2,2
SE_PhD_01,SmartGrid,Full-15,3,1,1,1
SE_PhD_01,SmartGrid,Domain-opt,4,4,2,3
SE_PhD_01,LoanApproval,Fixed-5,2,2,2,2
SE_PhD_01,LoanApproval,Domain-opt,4,4,2,3
SE_PhD_01,LoanApproval,Full-15,3,1,1,1
SE_PhD_01,LoanApproval,Phase0-Auto,3,3,2,2
SE_PhD_01,W-Mobility,Phase0-Auto,3,3,2,2
SE_PhD_01,W-Mobility,Full-15,3,1,1,1
SE_PhD_01,W-Mobility,Fixed-5,2,2,1,2
SE_PhD_01,W-Mobility,Domain-opt,3,3,2,2
SE_UG_01,EHR,Full-15,5,3,3,3
SE_UG_01,EHR,Phase0-Auto,4,3,3,3
SE_UG_01,EHR,Domain-opt,4,4,3,4
SE_UG_01,EHR,Fixed-5,3,3,3,3
SE_UG_01,SmartGrid,Fixed-5,3,4,3,3
SE_UG_01,SmartGrid,Phase0-Auto,4,4,3,4
SE_UG_01,SmartGrid,Full-15,5,3,3,3
SE_UG_01,SmartGrid,Domain-opt,4,4,4,4
SE_UG_01,LoanApproval,Fixed-5,3,3,3,3
SE_UG_01,LoanApproval,Domain-opt,4,4,4,4
SE_UG_01,LoanApproval,Full-15,5,3,3,3
SE_UG_01,LoanApproval,Phase0-Auto,4,4,3,4
SE_UG_01,W-Mobility,Phase0-Auto,4,4,3,4
SE_UG_01,W-Mobility,Full-15,5,3,3,3
SE_UG_01,W-Mobility,Fixed-5,3,3,3,3
SE_UG_01,W-Mobility,Domain-opt,4,4,3,4
