run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
iredev-ad-single_agent-s101,AD,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.018326,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-ad-multi_agent_without_negotiation-s101,AD,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,148.934434,6,28,0,0,28,22,0.0,0.00594,0.665176,0.931061,0.0,1.0,1,0,0.066667,1.0,5.0,3.8,1.133334,5.0,1.160001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-ad-multi_agent_with_negotiation-s101,AD,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,134.716232,6,27,6,12,7,6,1.0,0.002876,0.60731,0.922138,0.989448,1.0,1,0,0.066667,0.666667,4.266667,3.8,1.133334,5.0,1.160001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-ad-negotiation_integration_verification-s101,AD,101,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,126.728517,6,30,6,12,30,24,1.0,0.008333,0.699684,0.922581,0.991554,1.0,1,1,0.1,1.0,5.0,5.0,3.2,5.0,2.84,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-ad-single_agent-s202,AD,202,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.01403,1,7,0,0,7,6,0.0,0.000699,0.016991,0.938788,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-ad-multi_agent_without_negotiation-s202,AD,202,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,137.353353,6,27,0,0,27,21,0.0,0.004289,0.667339,0.933678,0.0,1.0,1,0,0.1,1.0,5.0,3.8,1.2,5.0,1.24,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-ad-multi_agent_with_negotiation-s202,AD,202,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,4,164.342438,6,30,6,12,7,6,1.0,0.001425,0.515391,0.893115,0.966533,1.0,1,0,0.066667,0.8,4.56,3.8,1.133334,5.0,1.160001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-ad-negotiation_integration_verification-s202,AD,202,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,149.55179,6,30,6,12,30,24,1.0,0.008333,0.74992,0.925396,0.990872,1.0,1,1,0.1,1.0,5.0,5.0,3.2,5.0,2.84,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-ad-single_agent-s303,AD,303,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.013834,1,7,0,0,7,6,0.0,0.000991,0.022264,0.930606,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-ad-multi_agent_without_negotiation-s303,AD,303,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,158.21482,6,30,0,0,30,24,0.0,0.005986,0.692984,0.930594,0.0,1.0,1,0,0.033333,0.75,4.45,3.8,1.066666,5.0,1.079999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
