case_id,setting,runs,valid_runs,invalid_runs,mean_runtime_seconds,std_runtime_seconds,mean_phase1_elements,std_phase1_elements,mean_phase2_steps,std_phase2_steps,mean_phase3_elements,std_phase3_elements,mean_conflict_resolution_rate,std_conflict_resolution_rate,mean_topology_valid,std_topology_valid
AD,multi_agent_with_negotiation,3,0,3,145.696379,13.253998,28.0,1.414214,12.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
AD,multi_agent_without_negotiation,3,0,3,148.167536,8.533905,28.333333,1.247219,0.0,0.0,28.333333,1.247219,0.0,0.0,1.0,0.0
AD,negotiation_integration_verification,3,0,3,140.796977,10.046611,29.0,1.414214,12.0,0.0,29.0,1.414214,0.666667,0.471405,1.0,0.0
AD,single_agent,3,3,0,0.015397,0.002073,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
ATM,multi_agent_with_negotiation,3,0,3,156.785985,16.055544,29.0,1.414214,12.0,0.0,7.0,0.0,0.666667,0.471405,1.0,0.0
ATM,multi_agent_without_negotiation,3,0,3,150.460968,11.416095,28.0,1.414214,0.0,0.0,28.0,1.414214,0.0,0.0,1.0,0.0
ATM,negotiation_integration_verification,3,0,3,166.866357,14.810974,28.0,1.414214,12.0,0.0,28.0,1.414214,0.666667,0.471405,1.0,0.0
ATM,single_agent,3,3,0,0.009911,0.000426,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,multi_agent_with_negotiation,3,0,3,155.951866,22.045304,29.666667,0.471405,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,multi_agent_without_negotiation,3,0,3,166.000885,29.081223,27.666667,0.942809,0.0,0.0,27.666667,0.942809,0.0,0.0,1.0,0.0
Bookkeeping,negotiation_integration_verification,3,0,3,158.308123,7.383529,28.0,1.414214,12.0,0.0,28.0,1.414214,0.333333,0.471405,1.0,0.0
Bookkeeping,single_agent,3,3,0,0.006773,8.9e-05,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Library,multi_agent_with_negotiation,3,0,3,171.01289,21.817926,28.0,1.414214,12.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Library,multi_agent_without_negotiation,3,0,3,154.969285,16.979789,27.666667,1.699673,0.0,0.0,27.666667,1.699673,0.0,0.0,1.0,0.0
Library,negotiation_integration_verification,3,0,3,185.052441,32.379911,28.0,1.414214,12.0,0.0,28.0,1.414214,0.666667,0.471405,1.0,0.0
Library,single_agent,3,3,0,0.006965,0.000222,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
RollCall,multi_agent_with_negotiation,3,0,3,179.106444,32.957591,27.666667,1.699673,12.0,0.0,7.0,0.0,0.666667,0.471405,1.0,0.0
RollCall,multi_agent_without_negotiation,3,0,3,189.714785,39.297776,29.0,1.414214,0.0,0.0,29.0,1.414214,0.0,0.0,1.0,0.0
RollCall,negotiation_integration_verification,3,0,3,166.487707,16.192272,27.333333,0.471405,12.0,0.0,27.333333,0.471405,0.0,0.0,1.0,0.0
RollCall,single_agent,3,3,0,0.006401,0.000345,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
