case_id,seed,single_agent_phase1_elements,multi_agent_without_negotiation_phase1_elements,multi_agent_with_negotiation_phase2_steps,negotiation_integration_verification_phase3_elements,delta_multi_without_neg_vs_single_phase1_elements,delta_multi_with_neg_vs_without_neg_phase2_steps,delta_full_vs_with_neg_phase3_elements,full_topology_valid,notes
AD,101,7,25,10,24,18,10,18,1,Protocol metrics computed from deterministic parity artifacts.
AD,202,7,25,10,25,18,10,19,1,Protocol metrics computed from deterministic parity artifacts.
AD,303,7,20,10,20,13,10,14,1,Protocol metrics computed from deterministic parity artifacts.
ATM,101,7,24,10,25,17,10,19,1,Protocol metrics computed from deterministic parity artifacts.
ATM,202,7,25,10,25,18,10,19,1,Protocol metrics computed from deterministic parity artifacts.
ATM,303,7,25,10,25,18,10,19,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,101,6,25,10,25,19,10,19,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,202,6,25,10,24,19,10,18,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,303,6,25,10,25,19,10,19,1,Protocol metrics computed from deterministic parity artifacts.
Library,101,7,24,10,24,17,10,18,1,Protocol metrics computed from deterministic parity artifacts.
Library,202,7,24,10,24,17,10,18,1,Protocol metrics computed from deterministic parity artifacts.
Library,303,7,25,10,25,18,10,19,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,101,6,25,10,25,19,10,19,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,202,6,25,10,25,19,10,19,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,303,6,23,10,25,17,10,19,1,Protocol metrics computed from deterministic parity artifacts.
