run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-ad-single_agent-s101,AD,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.017841,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-ad-multi_agent_without_negotiation-s101,AD,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,34.29245,5,25,0,0,25,20,0.0,0.006058,0.833318,0.920028,0.0,1.0,1,0,0.1,1.0,5.0,3.8,1.2,5.0,1.24,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-ad-multi_agent_with_negotiation-s101,AD,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,30.941555,5,25,5,10,6,5,1.0,0.000836,0.704768,0.875129,0.949496,1.0,1,0,0.033333,0.5,3.9,3.8,1.066666,5.0,1.079999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-ad-negotiation_integration_verification-s101,AD,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,31.17269,5,24,5,10,24,19,1.0,0.006154,0.79618,0.882734,0.945629,1.0,1,1,0.066667,1.0,5.0,5.0,3.133334,5.0,2.760001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-ad-single_agent-s202,AD,202,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.01256,1,7,0,0,7,6,0.0,0.000699,0.016991,0.938788,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-ad-multi_agent_without_negotiation-s202,AD,202,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,31.043754,5,25,0,0,25,20,0.0,0.003849,0.769577,0.909379,0.0,1.0,1,0,0.133333,1.0,5.0,3.8,1.266666,5.0,1.319999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-ad-multi_agent_with_negotiation-s202,AD,202,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,29.905463,5,25,5,10,6,5,1.0,0.001164,0.747707,0.88762,0.950018,1.0,1,0,0.0,1.0,5.0,3.8,1.0,5.0,1.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-ad-negotiation_integration_verification-s202,AD,202,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,30.870346,5,25,5,10,25,20,1.0,0.005977,0.77953,0.873358,0.985636,1.0,1,1,0.1,1.0,5.0,5.0,3.2,5.0,2.84,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-ad-single_agent-s303,AD,303,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.012363,1,7,0,0,7,6,0.0,0.000991,0.022264,0.930606,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-ad-multi_agent_without_negotiation-s303,AD,303,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,27.28621,5,20,0,0,20,15,0.0,0.001426,0.690837,0.902992,0.0,1.0,1,0,0.066667,1.0,5.0,3.8,1.133334,5.0,1.160001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
