case_id,setting,runs,valid_runs,invalid_runs,mean_runtime_seconds,std_runtime_seconds,mean_phase1_elements,std_phase1_elements,mean_phase2_steps,std_phase2_steps,mean_phase3_elements,std_phase3_elements,mean_conflict_resolution_rate,std_conflict_resolution_rate,mean_topology_valid,std_topology_valid
AD,multi_agent_with_negotiation,3,3,0,29.386634,1.52615,23.333333,2.357023,10.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
AD,multi_agent_without_negotiation,3,3,0,30.874138,2.862799,23.333333,2.357023,0.0,0.0,23.333333,2.357023,0.0,0.0,1.0,0.0
AD,negotiation_integration_verification,3,3,0,32.047224,1.455809,23.0,2.160247,10.0,0.0,23.0,2.160247,1.0,0.0,1.0,0.0
AD,single_agent,3,3,0,0.014255,0.002537,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
ATM,multi_agent_with_negotiation,3,3,0,31.657369,3.729129,24.666667,0.471405,10.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
ATM,multi_agent_without_negotiation,3,3,0,32.213161,3.173917,24.666667,0.471405,0.0,0.0,24.666667,0.471405,0.0,0.0,1.0,0.0
ATM,negotiation_integration_verification,3,3,0,32.847442,2.362691,25.0,0.0,10.0,0.0,25.0,0.0,0.666667,0.471405,1.0,0.0
ATM,single_agent,3,3,0,0.009354,0.000125,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,multi_agent_with_negotiation,3,3,0,34.179268,5.595272,24.666667,0.471405,10.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Bookkeeping,multi_agent_without_negotiation,3,3,0,34.649832,2.191903,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0
Bookkeeping,negotiation_integration_verification,3,3,0,34.121385,3.519033,24.666667,0.471405,10.0,0.0,24.666667,0.471405,0.0,0.0,1.0,0.0
Bookkeeping,single_agent,3,3,0,0.00582,0.000369,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Library,multi_agent_with_negotiation,3,3,0,33.589622,0.411121,24.666667,0.471405,10.0,0.0,6.0,0.0,0.333333,0.471405,1.0,0.0
Library,multi_agent_without_negotiation,3,3,0,32.83478,3.458516,24.333333,0.471405,0.0,0.0,24.333333,0.471405,0.0,0.0,1.0,0.0
Library,negotiation_integration_verification,3,3,0,34.493724,2.731221,24.333333,0.471405,10.0,0.0,24.333333,0.471405,1.0,0.0,1.0,0.0
Library,single_agent,3,3,0,0.006216,0.000151,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
RollCall,multi_agent_with_negotiation,3,3,0,35.209898,2.503634,24.666667,0.471405,10.0,0.0,6.0,0.0,0.333333,0.471405,1.0,0.0
RollCall,multi_agent_without_negotiation,3,3,0,39.634492,3.600954,24.333333,0.942809,0.0,0.0,24.333333,0.942809,0.0,0.0,1.0,0.0
RollCall,negotiation_integration_verification,3,3,0,38.428791,0.170077,25.0,0.0,10.0,0.0,25.0,0.0,0.666667,0.471405,1.0,0.0
RollCall,single_agent,3,3,0,0.005235,4.3e-05,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
