case_id,seed,single_agent_phase1_elements,multi_agent_without_negotiation_phase1_elements,multi_agent_with_negotiation_phase2_steps,negotiation_integration_verification_phase3_elements,delta_multi_without_neg_vs_single_phase1_elements,delta_multi_with_neg_vs_without_neg_phase2_steps,delta_full_vs_with_neg_phase3_elements,full_topology_valid,notes
AD,101,7,35,18,35,28,18,28,1,Protocol metrics computed from deterministic parity artifacts.
AD,202,7,35,18,35,28,18,28,1,Protocol metrics computed from deterministic parity artifacts.
AD,303,7,35,16,35,28,16,28,1,Protocol metrics computed from deterministic parity artifacts.
ATM,101,7,35,22,35,28,22,28,1,Protocol metrics computed from deterministic parity artifacts.
ATM,202,7,35,24,35,28,24,28,1,Protocol metrics computed from deterministic parity artifacts.
ATM,303,7,35,16,35,28,16,28,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,101,6,35,14,35,29,14,28,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,202,6,35,18,35,29,18,28,1,Protocol metrics computed from deterministic parity artifacts.
Bookkeeping,303,6,35,12,35,29,12,28,1,Protocol metrics computed from deterministic parity artifacts.
Library,101,7,35,22,35,28,22,28,1,Protocol metrics computed from deterministic parity artifacts.
Library,202,7,35,22,35,28,22,28,1,Protocol metrics computed from deterministic parity artifacts.
Library,303,7,35,18,35,28,18,28,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,101,6,35,18,35,29,18,28,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,202,6,35,16,35,29,16,28,1,Protocol metrics computed from deterministic parity artifacts.
RollCall,303,6,35,24,35,29,24,28,1,Protocol metrics computed from deterministic parity artifacts.
