run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
quare-ad-single_agent-s101,AD,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.00739,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s101,AD,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.013257,5,35,0,0,35,30,0.0,0.003052,0.665184,0.948474,0.0,1.0,1,0,0.833333,0.666667,4.266667,3.8,2.666666,5.0,2.999999,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s101,AD,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,82.622241,5,35,5,18,7,6,0.5,0.000172,0.631577,0.945969,0.978324,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s101,AD,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,59.658614,5,35,5,18,35,30,0.0,0.003052,0.665184,0.948474,1.0,1.0,1,1,0.833333,0.666667,4.266667,5.0,4.666666,5.0,4.599999,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-ad-single_agent-s202,AD,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.004726,1,7,0,0,7,6,0.0,0.000699,0.016991,0.938788,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s202,AD,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.012946,5,35,0,0,35,30,0.0,0.00322,0.664083,0.945353,0.0,1.0,1,0,0.833333,0.666667,4.266667,3.8,2.666666,5.0,2.999999,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s202,AD,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,86.357364,5,35,5,18,7,6,0.666667,4.8e-05,0.625753,0.923523,0.976878,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s202,AD,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,103.628197,5,35,5,18,35,30,0.666667,0.00322,0.664083,0.945353,1.0,1.0,1,1,0.833333,0.666667,4.266667,5.0,4.666666,5.0,4.599999,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-ad-single_agent-s303,AD,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.00453,1,7,0,0,7,6,0.0,0.000991,0.022264,0.930606,0.0,1.0,1,0,0.2,1.0,5.0,3.8,1.4,5.0,1.48,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-ad-multi_agent_without_negotiation-s303,AD,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.014037,5,35,0,0,35,30,0.0,0.003406,0.665518,0.948492,0.0,1.0,1,0,0.9,0.666667,4.266667,3.8,2.8,5.0,3.16,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s303,AD,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,88.774628,5,35,5,16,7,6,0.5,0.000127,0.63601,0.944478,0.972367,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-ad-negotiation_integration_verification-s303,AD,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,70.207069,5,35,5,16,35,30,0.5,0.003406,0.665518,0.948492,1.0,1.0,1,1,0.9,0.666667,4.266667,5.0,4.8,5.0,4.76,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-atm-single_agent-s101,ATM,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.003255,1,7,0,0,7,6,0.0,0.0,0.0,0.937011,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s101,ATM,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.009628,5,35,0,0,35,30,0.0,0.004847,0.676734,0.953793,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s101,ATM,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,95.740627,5,35,5,22,7,6,0.333333,6e-05,0.6302,0.93316,0.975515,1.0,1,0,0.7,0.333333,3.533333,3.8,2.4,5.0,2.68,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s101,ATM,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,81.72578,5,35,5,18,35,30,0.0,0.004847,0.676734,0.953793,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-atm-single_agent-s202,ATM,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.003633,1,7,0,0,7,6,0.0,0.0,0.0,0.935422,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s202,ATM,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.009217,5,35,0,0,35,30,0.0,0.004743,0.674134,0.953986,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s202,ATM,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,81.86545,5,35,5,24,7,6,0.75,6.3e-05,0.622725,0.89973,0.945259,1.0,1,0,0.5,0.2,3.24,3.8,2.0,5.0,2.2,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s202,ATM,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,94.887674,5,35,5,22,35,30,0.333333,0.004743,0.674134,0.953986,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-atm-single_agent-s303,ATM,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.003283,1,7,0,0,7,6,0.0,0.0,0.0,0.936097,0.0,1.0,1,0,0.7,0.2,3.24,3.8,2.4,5.0,2.68,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-atm-multi_agent_without_negotiation-s303,ATM,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.009374,5,35,0,0,35,30,0.0,0.004884,0.67547,0.95286,0.0,1.0,1,0,1.0,0.142857,3.114285,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-atm-multi_agent_with_negotiation-s303,ATM,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,56.40872,5,35,5,16,7,6,0.5,4.5e-05,0.63435,0.95053,0.983121,1.0,1,0,0.6,0.142857,3.114285,3.8,2.2,5.0,2.44,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-atm-negotiation_integration_verification-s303,ATM,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,79.924325,5,35,5,18,35,30,0.5,0.004884,0.67547,0.95286,1.0,1.0,1,1,1.0,0.142857,3.114285,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-bookkeeping-single_agent-s101,Bookkeeping,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.00262,1,6,0,0,6,5,0.0,0.0,0.012232,0.932253,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s101,Bookkeeping,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.008731,5,35,0,0,35,30,0.0,0.00328,0.668918,0.948039,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s101,Bookkeeping,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,67.955871,5,35,5,14,7,6,1.0,7.8e-05,0.606253,0.921608,0.983684,1.0,1,0,0.8,0.75,4.45,3.8,2.6,5.0,2.92,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s101,Bookkeeping,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,69.585629,5,35,5,14,35,30,0.0,0.00328,0.668918,0.948039,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-bookkeeping-single_agent-s202,Bookkeeping,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002657,1,6,0,0,6,5,0.0,0.0,0.012655,0.93366,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s202,Bookkeeping,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007336,5,35,0,0,35,30,0.0,0.004835,0.67535,0.947202,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s202,Bookkeeping,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,56.384923,5,35,5,18,7,6,0.0,5.8e-05,0.626392,0.95261,0.965646,1.0,1,0,0.8,0.75,4.45,3.8,2.6,5.0,2.92,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s202,Bookkeeping,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,68.929312,5,35,5,18,35,30,0.0,0.004835,0.67535,0.947202,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-bookkeeping-single_agent-s303,Bookkeeping,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002606,1,6,0,0,6,5,0.0,0.0,0.013149,0.932116,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-bookkeeping-multi_agent_without_negotiation-s303,Bookkeeping,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007466,5,35,0,0,35,30,0.0,0.003363,0.668188,0.947502,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-bookkeeping-multi_agent_with_negotiation-s303,Bookkeeping,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,77.584338,5,35,5,12,7,6,1.0,4.6e-05,0.606086,0.903035,0.982022,1.0,1,0,0.8,0.75,4.45,3.8,2.6,5.0,2.92,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-bookkeeping-negotiation_integration_verification-s303,Bookkeeping,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,115.308462,5,35,5,16,35,30,1.0,0.003363,0.668188,0.947502,1.0,1.0,1,1,1.0,0.8,4.56,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-library-single_agent-s101,Library,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.003314,1,7,0,0,7,6,0.0,0.0,0.0,0.932199,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s101,Library,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007537,5,35,0,0,35,30,0.0,0.004759,0.677377,0.947511,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s101,Library,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,95.866188,5,35,5,22,7,6,0.333333,0.000112,0.632895,0.944059,0.959894,1.0,1,0,0.5,1.0,5.0,3.8,2.0,5.0,2.2,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-library-negotiation_integration_verification-s101,Library,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,107.788251,5,35,5,22,35,30,0.0,0.004759,0.677377,0.947511,1.0,1.0,1,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-library-single_agent-s202,Library,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002855,1,7,0,0,7,6,0.0,0.0,0.0,0.932852,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s202,Library,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007735,5,35,0,0,35,30,0.0,0.004906,0.675772,0.947966,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s202,Library,202,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,60.037377,5,35,5,22,7,6,0.0,8.8e-05,0.624065,0.925188,0.972675,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-library-negotiation_integration_verification-s202,Library,202,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,63.797263,5,35,5,24,35,30,0.25,0.004906,0.675772,0.947966,1.0,1.0,1,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-library-single_agent-s303,Library,303,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002795,1,7,0,0,7,6,0.0,0.0,0.0,0.933134,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-library-multi_agent_without_negotiation-s303,Library,303,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.008184,5,35,0,0,35,30,0.0,0.004829,0.676711,0.947541,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-library-multi_agent_with_negotiation-s303,Library,303,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,34.409537,5,35,5,18,7,6,0.5,7.4e-05,0.631099,0.946566,0.959598,1.0,1,0,0.833333,1.0,5.0,3.8,2.666666,5.0,2.999999,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-library-negotiation_integration_verification-s303,Library,303,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,61.418453,5,35,5,22,35,30,0.0,0.004829,0.676711,0.947541,1.0,1.0,1,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-rollcall-single_agent-s101,RollCall,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002662,1,6,0,0,6,5,0.0,0.0,0.0,0.928342,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-rollcall-multi_agent_without_negotiation-s101,RollCall,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007337,5,35,0,0,35,30,0.0,0.00482,0.677843,0.944894,0.0,1.0,1,0,1.0,0.666667,4.266667,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
quare-rollcall-multi_agent_with_negotiation-s101,RollCall,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,85.415332,5,35,5,18,7,6,0.666667,0.000145,0.635072,0.934149,0.977601,1.0,1,0,0.6,1.0,5.0,3.8,2.2,5.0,2.44,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,verification_not_executed_for_setting
quare-rollcall-negotiation_integration_verification-s101,RollCall,101,quare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,63.450564,5,35,5,18,35,30,0.5,0.00482,0.677843,0.944894,1.0,1.0,1,1,1.0,0.666667,4.266667,5.0,5.0,5.0,5.0,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,
quare-rollcall-single_agent-s202,RollCall,202,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.002617,1,6,0,0,6,5,0.0,0.0,0.0,0.926887,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,single_agent_baseline_partial_phase_equivalence
quare-rollcall-multi_agent_without_negotiation-s202,RollCall,202,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,True,True,False,0,0.007741,5,35,0,0,35,30,0.0,0.004876,0.675838,0.944335,0.0,1.0,1,0,1.0,0.666667,4.266667,3.8,3.0,5.0,3.4,,ef65560e3e5210041525721d85fce427a36b4a99d276fee46274a58bbbac7f5b,False,negotiation_and_verification_not_executed_for_setting
